PAGE URL,Product Title,Quantity,p_element,Brand,Flavour,Format,Nicotine,td_element,Strenght
https://prilla.com/us/fre-nicotine-pouches/fre-original-12mg,FRE Original 12mg,20,"FRE Original 12mg is an extra nicotine pouch suitable for the more experienced and veteran users out there, as the sensation provided is intense. With 12mg of nicotine per sachet, it packs a punch and is not accompanied by a tasting experience, leaving the user to revel in this pure and potent sensation.",FRE,Unflavored,Slim,12  mg/pouch,"Nu-X Ventures, LLC.",Extra Strong
https://prilla.com/us/fre-nicotine-pouches/fre-original-15mg,FRE Original 15mg,20,"FRE Original 15mg is one of the strongest nicotine pouches in this brand’s repertoire. Its robust strength is supplied by 15mg of nicotine per sachet, ideal for the most experienced users wanting an intense sensation. Another factor that sets this pouch apart is it's unflavored, allowing consumers to enjoy a pure, no-frills nicotine delivery.",FRE,Unflavored,Slim,15  mg/pouch,"Nu-X Ventures, LLC.",Extra Strong
https://prilla.com/us/fre-nicotine-pouches/fre-original-3mg,FRE Original 3mg,20,"FRE Original 3mg is a nicotine pouch built for a no-frills experience. It’s unflavored, meaning users can enjoy the steady nicotine sensation without other additives. Each sachet holds 3mg of nicotine, which is suitable for those reducing their nicotine intake or with a low tolerance.",FRE,Unflavored,Slim,3  mg/pouch,"Nu-X Ventures, LLC.",Light
https://prilla.com/us/fre-nicotine-pouches/fre-original-6mg,FRE Original 6mg,20,"FRE Original 6 mg has an all-day use nicotine strength suitable for intermediate and experienced users as each sachet holds 6mg of nicotine. However, what doesn’t join this sensation is a flavor profile, allowing the user to enjoy this pure experience without distraction.",FRE,Unflavored,Slim,6  mg/pouch,"Nu-X Ventures, LLC.",Normal
https://prilla.com/us/fre-nicotine-pouches/fre-original-9mg,FRE Original 9mg,20,"FRE Original 9mg is a nicotine pouch that lets its strong nicotine strength do the talking. With no tasting experience, users can relish this potent nicotine sensation supplied by the 9mg held within each sachet. It’s a pouch for experienced users.",FRE,Unflavored,Slim,9  mg/pouch,"Nu-X Ventures, LLC.",
https://prilla.com/us/fre-nicotine-pouches/fre-pouch-mint-15mg,FRE Mint 15mg,20,"This minty sensation called FRE Mint 15 mg exudes power, power, power. The ice cold freshness hits you immediately after you place a pouch under your lip, and the 15 mg/pouch of nicotine along with it. 15 mg is strong, even for the well-versed user, and will guarantee an extremely strong experience.",FRE,Mint,Slim,15  mg/pouch,"Nu-X Ventures, LLC.",Extra Strong
https://prilla.com/us/fre-nicotine-pouches/fre-sweet-12mg,FRE Sweet 12mg,20,"Whether you need to give your taste buds some time off or cannot find a flavor that suits your preferences, FRE Sweet 12 mg is the perfect solution, as it is unflavored and aroma-free. It delivers an extra-strong, 12 mg/pouch nicotine kick for lasting satisfaction without anything else.",FRE,Unflavored,Slim,12  mg/pouch,"Nu-X Ventures, LLC.",
https://prilla.com/us/fre-nicotine-pouches/fre-sweet-15mg,FRE Sweet 15mg,20,"With FRE Sweet 15 mg you will enjoy a very powerful nicotine release without the interruption of overwhelming flavor or aroma, for this product is completely unflavored. One of the benefits of an unflavored pouch such as this is that you don’t get that constant powerful flavor in your mouth, staining everything you eat or drink. The 15 mg/pouch of nicotine is among the strongest available in the US - be prepared for an incredible kick!",FRE,Unflavored,Slim,15  mg/pouch,"Nu-X Ventures, LLC.",Extra Strong
https://prilla.com/us/fre-nicotine-pouches/fre-sweet-9mg,FRE Sweet 9mg,20,"If you need nicotine without frills, FRE Sweet 9 mg will give you exactly that. This product's sole purpose is to deliver a strong, 9mg/pouch kick without any other distractions, so it is unflavored and aroma-free.",FRE,Unflavored,Slim,9  mg/pouch,"Nu-X Ventures, LLC.",
https://prilla.com/us/fre-nicotine-pouches/fre-wintergreen-12mg,FRE Wintergreen 12mg,20,"Each pouch of FRE Wintergreen 12 mg provides an intensely refreshing experience. You can expect a bold, natural wintergreen taste with a rejuvenating, cooling finish that leaves your mouth feeling fresh and a powerful nicotine effect from its extra-strong, 12 mg/pouch content.",FRE,Wintergreen,Slim,12  mg/pouch,"Nu-X Ventures, LLC.",
https://prilla.com/us/fre-nicotine-pouches/fre-wintergreen-15mg,FRE Wintergreen 15mg,20,With FRE Wintergreen 15 mg the taste of wintergreen is full-bodied and rich making this suitable for users looking for a mint flavor that has a more soothing character to it in comparison to other mint types. It’s both refreshing and soothing at the same time paired with sweet undertones.,FRE,Wintergreen,Slim,15  mg/pouch,"Nu-X Ventures, LLC.",Extra Strong
